ID,code,start,end,01 - Location third,02 - Location flank,03 - End location third,04 - End location flank,05 - Length,06 - Number of team events,07 - Outcome,09 - xG,11 - Start location X,12 - Start location Y,13 - Duration,14 - Formation,15 - End location X,16 - End location Y,10 - Players,08 - Transition
1,Ball in play,1.691282,100.52943,Middle third,Center,Final third,Center,Very long,15 or more,Shot on goal,from 0.1 to 0.35,53,34,95,4-2-3-1,2,35,"53. Nwaneri, 22. David Raya, 3. Tierney, 17. Zinchenko, 41. Rice, 5. Partey, 4. White, 11. Gabriel Martinelli, 30. Sterling, 15. Kiwior",
2,Arsenal - Possessions,1.691282,100.52943,Middle third,Center,Final third,Center,Very long,15 or more,Shot on goal,from 0.1 to 0.35,53,34,95,4-2-3-1,2,35,"53. Nwaneri, 22. David Raya, 3. Tierney, 17. Zinchenko, 41. Rice, 5. Partey, 4. White, 11. Gabriel Martinelli, 30. Sterling, 15. Kiwior",
3,Arsenal - Highlights,1.691282,100.52943,Middle third,Center,Final third,Center,Very long,15 or more,Shot on goal,from 0.1 to 0.35,53,34,95,4-2-3-1,2,35,"53. Nwaneri, 22. David Raya, 3. Tierney, 17. Zinchenko, 41. Rice, 5. Partey, 4. White, 11. Gabriel Martinelli, 30. Sterling, 15. Kiwior",
4,Arsenal - Open play attacks,1.691282,100.52943,Middle third,Center,Final third,Center,Very long,15 or more,Shot on goal,from 0.1 to 0.35,53,34,95,4-2-3-1,2,35,"53. Nwaneri, 22. David Raya, 3. Tierney, 17. Zinchenko, 41. Rice, 5. Partey, 4. White, 11. Gabriel Martinelli, 30. Sterling, 15. Kiwior",
5,Arsenal - Crosses,1.691282,100.52943,Middle third,Center,Final third,Center,Very long,15 or more,Shot on goal,from 0.1 to 0.35,53,34,95,4-2-3-1,2,35,"53. Nwaneri, 22. David Raya, 3. Tierney, 17. Zinchenko, 41. Rice, 5. Partey, 4. White, 11. Gabriel Martinelli, 30. Sterling, 15. Kiwior",
6,Arsenal - Shots,1.691282,100.52943,Middle third,Center,Final third,Center,Very long,15 or more,Shot on goal,from 0.1 to 0.35,53,34,95,4-2-3-1,2,35,"53. Nwaneri, 22. David Raya, 3. Tierney, 17. Zinchenko, 41. Rice, 5. Partey, 4. White, 11. Gabriel Martinelli, 30. Sterling, 15. Kiwior",
7,Ball in play,97.52943,123.829686,Own third,Center,Middle third,Right flank,Long,4 or less,,,2,35,26,5-4-1,37,17,"30. Ramsdale, 11. Stewart",
8,Southampton - Possessions,97.52943,123.829686,Own third,Center,Middle third,Right flank,Long,4 or less,,,2,35,26,5-4-1,37,17,"30. Ramsdale, 11. Stewart",
9,Southampton - Goalkeeper distributions,97.52943,123.829686,Own third,Center,Middle third,Right flank,Long,4 or less,,,2,35,26,5-4-1,37,17,"30. Ramsdale, 11. Stewart",
10,Ball in play,123.819686,127.364343,Middle third,Left flank,Middle third,Left flank,Short,4 or less,,,37,17,3,4-2-3-1,55,58,"41. Rice, 11. Gabriel Martinelli",Medium
11,Arsenal - Possessions,123.819686,127.364343,Middle third,Left flank,Middle third,Left flank,Short,4 or less,,,37,17,3,4-2-3-1,55,58,"41. Rice, 11. Gabriel Martinelli",Medium
12,Ball in play,127.354343,131.003416,Middle third,Right flank,Final third,Right flank,Short,4 or less,,,55,58,2,5-4-1,28,16,"16. Sugawara, 46. Robinson",Medium
13,Southampton - Possessions,127.354343,131.003416,Middle third,Right flank,Final third,Right flank,Short,4 or less,,,55,58,2,5-4-1,28,16,"16. Sugawara, 46. Robinson",Medium
14,Ball in play,130.993416,217.179117,Own third,Left flank,Final third,Center,Very long,15 or more,Shot,from 0.1 to 0.35,28,16,82,4-2-3-1,0,44,"3. Tierney, 22. David Raya, 5. Partey, 4. White, 15. Kiwior, 41. Rice, 17. Zinchenko, 11. Gabriel Martinelli, 23. Mikel Merino",
15,Arsenal - Possessions,130.993416,217.179117,Own third,Left flank,Final third,Center,Very long,15 or more,Shot,from 0.1 to 0.35,28,16,82,4-2-3-1,0,44,"3. Tierney, 22. David Raya, 5. Partey, 4. White, 15. Kiwior, 41. Rice, 17. Zinchenko, 11. Gabriel Martinelli, 23. Mikel Merino",
16,Arsenal - Highlights,130.993416,217.179117,Own third,Left flank,Final third,Center,Very long,15 or more,Shot,from 0.1 to 0.35,28,16,82,4-2-3-1,0,44,"3. Tierney, 22. David Raya, 5. Partey, 4. White, 15. Kiwior, 41. Rice, 17. Zinchenko, 11. Gabriel Martinelli, 23. Mikel Merino",
17,Arsenal - Open play attacks,130.993416,217.179117,Own third,Left flank,Final third,Center,Very long,15 or more,Shot,from 0.1 to 0.35,28,16,82,4-2-3-1,0,44,"3. Tierney, 22. David Raya, 5. Partey, 4. White, 15. Kiwior, 41. Rice, 17. Zinchenko, 11. Gabriel Martinelli, 23. Mikel Merino",
18,Arsenal - Crosses,130.993416,217.179117,Own third,Left flank,Final third,Center,Very long,15 or more,Shot,from 0.1 to 0.35,28,16,82,4-2-3-1,0,44,"3. Tierney, 22. David Raya, 5. Partey, 4. White, 15. Kiwior, 41. Rice, 17. Zinchenko, 11. Gabriel Martinelli, 23. Mikel Merino",
19,Arsenal - Shots,130.993416,217.179117,Own third,Left flank,Final third,Center,Very long,15 or more,Shot,from 0.1 to 0.35,28,16,82,4-2-3-1,0,44,"3. Tierney, 22. David Raya, 5. Partey, 4. White, 15. Kiwior, 41. Rice, 17. Zinchenko, 11. Gabriel Martinelli, 23. Mikel Merino",
20,Ball in play,244.276823,249.050859,Own third,Center,Middle third,Right flank,Short,4 or less,,,0,37,4,5-4-1,38,14,"30. Ramsdale, 11. Stewart",
21,Southampton - Possessions,244.276823,249.050859,Own third,Center,Middle third,Right flank,Short,4 or less,,,0,37,4,5-4-1,38,14,"30. Ramsdale, 11. Stewart",
22,Southampton - Goalkeeper distributions,244.276823,249.050859,Own third,Center,Middle third,Right flank,Short,4 or less,,,0,37,4,5-4-1,38,14,"30. Ramsdale, 11. Stewart",
